PFR	Full.PFR	In.HPfA
1054	PFR00000001054	TRUE
13352	PFR00000013352	TRUE
1003	PFR00000001003	TRUE
1018	PFR00000001018	TRUE
15149	PFR00000015149	TRUE
5507	PFR00000005507	TRUE
3460	PFR00000003460	TRUE
2463	PFR00000002463	TRUE
15889	PFR00000015889	TRUE
1016	PFR00000001016	TRUE
65051	PFR00000065051	TRUE
1013	PFR00000001013	TRUE
1008	PFR00000001008	TRUE
1009	PFR00000001009	TRUE
1101	PFR00000001101	TRUE
2216	PFR00000002216	TRUE
1321	PFR00000001321	TRUE
1026	PFR00000001026	TRUE
1123	PFR00000001123	TRUE
1027	PFR00000001027	TRUE
11825	PFR00000011825	TRUE
1036	PFR00000001036	TRUE
1015	PFR00000001015	TRUE
1470	PFR00000001470	TRUE
1028	PFR00000001028	TRUE
1017	PFR00000001017	TRUE
1068	PFR00000001068	TRUE
1021	PFR00000001021	TRUE
1046	PFR00000001046	TRUE
16034	PFR00000016034	TRUE
1038	PFR00000001038	TRUE
1588	PFR00000001588	TRUE
15885	PFR00000015885	TRUE
1499	PFR00000001499	TRUE
4981098	PFR00004981098	TRUE
69237	PFR00000069237	TRUE
1303	PFR00000001303	TRUE
69232	PFR00000069232	TRUE
156957	PFR00000156957	FALSE
14938	PFR00000014938	TRUE
15880	PFR00000015880	TRUE
1976	PFR00000001976	TRUE
66199	PFR00000066199	FALSE
1631	PFR00000001631	TRUE
17708	PFR00000017708	TRUE
4934	PFR00000004934	FALSE
1983	PFR00000001983	TRUE
1073	PFR00000001073	TRUE
1010	PFR00000001010	TRUE
169497	PFR00000169497	TRUE
15997	PFR00000015997	TRUE
1464	PFR00000001464	TRUE
41236	PFR00000041236	FALSE
15953	PFR00000015953	TRUE
1011	PFR00000001011	TRUE
1936	PFR00000001936	TRUE
1001	PFR00000001001	TRUE
2926	PFR00000002926	TRUE
2548	PFR00000002548	TRUE
69231	PFR00000069231	TRUE
16018	PFR00000016018	TRUE
272086	PFR00000272086	TRUE
14908	PFR00000014908	TRUE
16559	PFR00000016559	TRUE
12375	PFR00000012375	TRUE
3245	PFR00000003245	TRUE
258993	PFR00000258993	TRUE
258978	PFR00000258978	TRUE
92967	PFR00000092967	FALSE
1864	PFR00000001864	TRUE
70242	PFR00000070242	TRUE
169501	PFR00000169501	FALSE
74904	PFR00000074904	TRUE
170715	PFR00000170715	TRUE
11835	PFR00000011835	TRUE
16102	PFR00000016102	FALSE
6971	PFR00000006971	TRUE
2863	PFR00000002863	TRUE
1364	PFR00000001364	TRUE
73240	PFR00000073240	TRUE
259006	PFR00000259006	TRUE
96859	PFR00000096859	TRUE
18586	PFR00000018586	TRUE
8154	PFR00000008154	TRUE
12378	PFR00000012378	TRUE
12371	PFR00000012371	TRUE
2180	PFR00000002180	TRUE
68966	PFR00000068966	TRUE
59076	PFR00000059076	TRUE
224694	PFR00000224694	TRUE
259001	PFR00000259001	TRUE
1007	PFR00000001007	TRUE
1033	PFR00000001033	TRUE
259014	PFR00000259014	TRUE
74902	PFR00000074902	TRUE
55232	PFR00000055232	FALSE
272080	PFR00000272080	TRUE
1724	PFR00000001724	TRUE
5483506	PFR00005483506	FALSE
258981	PFR00000258981	TRUE
1075	PFR00000001075	TRUE
258982	PFR00000258982	FALSE
258987	PFR00000258987	TRUE
1064	PFR00000001064	TRUE
272077	PFR00000272077	TRUE
1110	PFR00000001110	TRUE
272074	PFR00000272074	TRUE
70237	PFR00000070237	TRUE
15620	PFR00000015620	TRUE
70236	PFR00000070236	TRUE
4971978	PFR00004971978	TRUE
5740754	PFR00005740754	FALSE
258983	PFR00000258983	FALSE
258979	PFR00000258979	FALSE
74901	PFR00000074901	TRUE
258980	PFR00000258980	TRUE
68974	PFR00000068974	TRUE
7017	PFR00000007017	TRUE
224530	PFR00000224530	TRUE
15969	PFR00000015969	TRUE
69233	PFR00000069233	TRUE
1210	PFR00000001210	TRUE
12781	PFR00000012781	TRUE
74906	PFR00000074906	TRUE
68943	PFR00000068943	TRUE
6987	PFR00000006987	TRUE
69240	PFR00000069240	TRUE
4905952	PFR00004905952	TRUE
259088	PFR00000259088	TRUE
592591	PFR00000592591	TRUE
2572	PFR00000002572	TRUE
272076	PFR00000272076	FALSE
70259	PFR00000070259	TRUE
12768	PFR00000012768	TRUE
14947	PFR00000014947	TRUE
272075	PFR00000272075	TRUE
73105	PFR00000073105	TRUE
1247	PFR00000001247	TRUE
272079	PFR00000272079	TRUE
12374	PFR00000012374	TRUE
74905	PFR00000074905	FALSE
7230	PFR00000007230	TRUE
995192	PFR00000995192	TRUE
258997	PFR00000258997	FALSE
1409	PFR00000001409	TRUE
70235	PFR00000070235	FALSE
1174	PFR00000001174	TRUE
2955	PFR00000002955	TRUE
6983	PFR00000006983	TRUE
12373	PFR00000012373	TRUE
6964	PFR00000006964	TRUE
244001	PFR00000244001	TRUE
259092	PFR00000259092	TRUE
70234	PFR00000070234	TRUE
432952	PFR00000432952	FALSE
15622	PFR00000015622	TRUE
5692687	PFR00005692687	FALSE
70247	PFR00000070247	FALSE
17094	PFR00000017094	TRUE
259043	PFR00000259043	FALSE
1235	PFR00000001235	TRUE
1439	PFR00000001439	TRUE
1092	PFR00000001092	TRUE
1029	PFR00000001029	TRUE
6975	PFR00000006975	TRUE
19638	PFR00000019638	TRUE
12372	PFR00000012372	TRUE
222720	PFR00000222720	FALSE
346100	PFR00000346100	FALSE
258984	PFR00000258984	FALSE
74903	PFR00000074903	FALSE
1108	PFR00000001108	TRUE
213504	PFR00000213504	TRUE
15901	PFR00000015901	TRUE
6994	PFR00000006994	TRUE
5692689	PFR00005692689	FALSE
16605	PFR00000016605	TRUE
6058	PFR00000006058	TRUE
272073	PFR00000272073	FALSE
73164	PFR00000073164	TRUE
74008	PFR00000074008	TRUE
1375	PFR00000001375	TRUE
5978	PFR00000005978	TRUE
1942	PFR00000001942	TRUE
346099	PFR00000346099	FALSE
639020	PFR00000639020	TRUE
