PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
5507,P68871,2.3E-134,3.5E-127,1193,54%,1,1.5E-85,15857.25,15867.22
15149,P61956-1,1.4E-134,2.2E-127,133.6,63%,1,2.2E-85,10513.2,10519.76
13352,P69905,7.2E-131,1.1E-123,1451,49%,1,2.8E-83,15116.88,15126.36
15889,P80511,1.5E-129,2.3E-122,1281,82%,1,1.2E-82,10437.49,10443.85
1054,P07108-1,1.3E-129,2E-122,83.55,68%,1,1.2E-82,9948.99,9955.27
2463,P05109,1E-129,1.5E-122,1025,65%,1,1.3E-82,10827.65,10834.51
1003,P61604,3.4E-127,5.2E-120,38.16,55%,4,4.3E-81,10835.84,10842.54
1016,O95777,4.9E-127,7.4E-120,1189,54%,1,4.9E-81,10307.26,10313.49
1013,O75368,3.3E-123,5.1E-116,1040,51%,1,2E-78,12635.34,12643.06
65051,Q15847,2.2E-120,3.3E-113,1204,80%,1,1.7E-76,7760.94,7765.6
2216,P55854-1,7.8E-116,1.2E-108,913.5,53%,1,2.2E-73,10429.17,10435.68
1008,P0CG47,3.9E-112,5.9E-105,1535,71%,1,7.7E-71,8559.62,8564.84
1009,O75964,4.2E-111,6.3E-104,221.3,50%,1,3.7E-70,11332.21,11339.32
1101,P56381,2.3E-104,3.5E-97,781.8,82%,1,1.7E-65,5645.07,5648.57
1015,P61769,1E-97,1.6E-90,799.4,53%,1,6.7E-61,11723.79,11731.17
1017,P31949,4.8E-96,7.3E-89,17.95,50%,4,9E-60,11643.8,11651.29
1021,P20674,6.4E-94,9.7E-87,994.9,36%,1,2.5E-58,12493.43,12501.17
1018,P14406,2.9E-93,4.4E-86,1193,75%,1,6.8E-58,6717.58,6721.81
1038,P63313,3.6E-89,5.5E-82,21.89,88%,4,4.5E-55,4933.52,4936.52
1046,P63173,5.8E-88,8.8E-81,904.3,53%,1,2.9E-54,8081.69,8086.7
15885,P68871,8.2E-88,1.2E-80,678.1,43%,1,3.5E-54,15886.24,15896.22
1499,P27449,1.9E-87,2.9E-80,1639,31%,1,6E-54,15636.43,15646.6
1068,P24311,2E-86,3E-79,1078,71%,1,2.9E-53,6358.19,6362.15
1036,P06454-2,2.4E-86,3.7E-79,491.6,55%,1,3.3E-53,11977.9,11984.69
69232,P68871,3.7E-85,5.7E-78,26.69,39%,4,2.1E-52,15937.22,15947.2
15880,P61604,8.3E-108,3.4E-100,9.586,51%,4,1.1E-51,10835.84,10842.54
17708,P68871,9.7E-82,1.5E-74,27.2,40%,4,4.5E-50,15928.25,15938.26
1631,Q9H299,1.1E-81,1.6E-74,818.7,46%,1,4.7E-50,10342.23,10348.56
1983,Q9P0S9,1.1E-81,1.7E-74,880.3,41%,1,4.7E-50,11598.98,11606.62
1026,P20962,2.5E-81,3.7E-74,3.01,51%,4,7.7E-50,11434.16,11440.75
1073,P62308,1.2E-80,1.8E-73,905.1,57%,1,2.2E-49,8401.4,8406.91
1010,P60903,1.5E-80,2.2E-73,1228,44%,1,2.5E-49,11064.47,11071.91
16034,P68871,1.9E-80,2.9E-73,487.6,41%,1,2.9E-49,15941.27,15951.3
