PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
2463,P05109,6.9E-151,1.1E-143,1124,71%,1,1.8E-115,10827.65,10834.51
15889,P80511,3.5E-130,5.3E-123,1410,72%,1,8.7E-99,10437.49,10443.85
5507,P68871,8.1E-114,1.2E-106,841.4,48%,1,1.5E-85,15857.25,15867.22
11791,P06702,2.7E-102,4.1E-95,838,41%,1,3E-76,13144.48,13152.84
1008,P0CG47,4.1E-92,6.2E-85,1228,53%,1,5E-68,8559.62,8564.84
13352,P69905,1.6E-91,2.4E-84,1012,38%,1,1.2E-67,15116.88,15126.36
17094,P80511,2.1E-85,3.1E-78,1067,54%,1,1.1E-62,10479.5,10485.89
1027,Q9Y2S6,1.2E-80,1.8E-73,916,52%,1,7E-59,6972.9,6977.15
18622,Q9NZD4,8.9E-70,1.4E-62,1360,36%,1,4.6E-50,11743.95,11751.26
1026,P20962,2E-68,3E-61,1.761,30%,4,5.2E-49,11434.16,11440.75
1092,P62805,1.3E-67,2E-60,29.69,37%,4,2.2E-48,11341.39,11348.28
16102,P68871,3.6E-64,5.5E-57,15.72,29%,4,1.3E-45,15928.25,15938.26
17708,P68871,9.1E-64,1.4E-56,37.62,28%,4,2.5E-45,15928.25,15938.26
16018,P68871,1.8E-63,2.8E-56,354.3,28%,1,4.1E-45,15970.26,15980.3
15885,P68871,2.1E-62,3.2E-55,475.6,32%,1,2.8E-44,15886.24,15896.22
1017,P31949,3.1E-62,4.7E-55,3.01,29%,4,3.6E-44,11643.8,11651.29
69229,P68871,4.6E-179,1.9E-171,1007,73%,1,6.8E-43,9946.22,18.02
272079,P68871,6.8E-60,1E-52,3.01,19%,4,2.7E-42,16139.16,16149.2
1464,P62328,9.4E-60,1.4E-52,3.01,67%,4,3.3E-42,4960.49,4963.5
1006,P05204,7E-59,1.1E-51,790.9,39%,1,1.6E-41,9256.02,9261.48
69079,P59666,3.1E-58,4.7E-51,444.2,72%,1,5.1E-41,3489.55,3492.1
1038,P63313,3.6E-58,5.4E-51,30.14,60%,4,5.4E-41,4933.52,4936.52
70242,P68871,1.4E-56,2.1E-49,58.51,23%,1,1E-39,16017.18,16027.18
69106,P59665,5E-56,7.5E-49,465.8,79%,1,2.7E-39,3445.56,3448.09
18595,P30273,8.7E-56,1.3E-48,1308,37%,1,4.1E-39,7803.15,7808.09
68983,P69905,9E-162,3.7E-154,1041,85%,1,2.7E-38,7730.96,18.02
16034,P68871,3.3E-54,5E-47,391.2,29%,1,7.2E-38,15941.27,15951.3
15997,P68871,3.3E-54,5E-47,49.53,29%,1,7.5E-38,15899.26,15909.26
74906,P68871,5.6E-54,8.5E-47,31.61,23%,4,1.1E-37,16021.24,16031.28
65051,Q15847,1.1E-53,1.6E-46,1194,36%,1,1.7E-37,7760.94,7765.6
259006,P68871,3.7E-53,5.7E-46,3.001,22%,4,4.6E-37,16008.22,16018.24
74902,P68871,8.2E-53,1.2E-45,0.7918,21%,4,8.2E-37,16059.19,16069.22
272080,P68871,8.2E-53,1.2E-45,30.28,21%,4,8.4E-37,16046.17,16056.18
69109,P59665,3.1E-52,4.8E-45,470.6,61%,1,2.3E-36,3374.52,3377.01
69231,P68871,3E-52,4.6E-45,24.63,27%,4,2.3E-36,15937.22,15947.2
1880,P25815,9.4E-52,1.4E-44,1064,24%,1,5.4E-36,10304.19,10310.75
1046,P63173,1.4E-51,2.1E-44,782.5,35%,1,7.2E-36,8081.69,8086.7
4905952,P0DP25,2.3E-51,3.4E-44,3.009,21%,4,1E-35,16779.85,16790.52
1242,P02792,2.5E-50,3.7E-43,825.3,23%,1,7.1E-35,19918.07,19930.52
15969,P68871,3.4E-50,5.2E-43,256.1,29%,1,8.9E-35,15871.23,15881.2
588261,P05496,3.3E-50,5.1E-43,895.6,28%,1,8.9E-35,7645.03,7650.1
68954,P68871,7.2E-146,3E-138,1006,69%,1,4.5E-34,9231.81,18.02
69232,P68871,3.1E-49,4.8E-42,26.46,28%,4,5.1E-34,15937.22,15947.2
224694,P68871,8.2E-49,1.2E-41,13.93,26%,4,1.1E-33,16021.24,16031.28
346363,P69905,9.6E-49,1.5E-41,1.249,22%,4,1.2E-33,15441.89,15451.59
6971,P0DP23,2.5E-48,3.8E-41,3.01,19%,4,2.6E-33,16779.85,16790.52
258993,P68871,8.7E-48,1.3E-40,18.32,24%,4,6.9E-33,15966.21,15976.2
96859,P68871,1.8E-47,2.7E-40,21.25,26%,4,1.2E-32,15966.21,15976.2
73240,P68871,2.2E-47,3.3E-40,56.23,26%,1,1.4E-32,16017.18,16027.18
1069,Q6FI13,1.8E-45,2.8E-38,833.8,23%,1,4.8E-31,13997.86,14006.34
1050,P32119-1,4.5E-45,6.8E-38,689.7,17%,1,9.7E-31,21789.21,21802.77
74904,P68871,5.8E-45,8.8E-38,14.24,23%,4,1.2E-30,16050.23,16060.28
259001,P68871,6.1E-45,9.3E-38,11.27,26%,4,1.2E-30,16008.22,16018.24
169497,P68871,6.1E-45,9.3E-38,15.1,26%,4,1.2E-30,15979.23,15989.24
1499,P27449,9.8E-45,1.5E-37,2083,16%,1,1.7E-30,15636.43,15646.6
170715,P68871,9.7E-45,1.5E-37,2.986,19%,4,1.7E-30,16088.18,16098.22
1724,P10176,6.5E-44,9.9E-37,605.7,49%,1,7.5E-30,4890.6,4893.78
259089,P69905,7.3E-44,1.1E-36,14.71,24%,4,8.1E-30,15196.85,15206.34
15953,P68871,8.5E-44,1.3E-36,24.12,23%,4,9E-30,15899.26,15909.26
1009,O75964,1.1E-43,1.6E-36,3.01,22%,4,1.1E-29,11332.21,11339.32
16605,P69905,4E-43,6.1E-36,36.8,24%,4,3.1E-29,15158.9,18.02
1215,P06703,4E-43,6.1E-36,343.4,32%,1,3.1E-29,10084.31,10090.59
272074,P68871,4.3E-43,6.5E-36,224.3,19%,1,3.1E-29,16181.17,16191.24
15901,P69905,1.1E-42,1.7E-35,739.7,24%,1,6.8E-29,15146.86,15156.34
74913,P69905,2.7E-42,4.2E-35,17.05,22%,4,1.4E-28,15188.87,15198.38
258982,P68871,4.9E-42,7.5E-35,3.01,23%,4,2.1E-28,16059.19,16069.22
68958,P68871,5.7E-125,2.4E-117,857.5,78%,1,2.4E-28,6643.45,18.02
304743,P68871,1.7E-124,6.8E-117,737.4,81%,1,2.8E-28,6429.32,18.02
1033,P62805,1.5E-41,2.3E-34,108.2,20%,1,5.2E-28,11299.38,11306.24
169454,P69905,4.4E-123,1.8E-115,662.9,73%,1,6.2E-28,7631.9,18.02
2299,P62805,7.5E-41,1.1E-33,25.42,24%,4,1.9E-27,11299.38,11306.24
339911,P10412,1.9E-120,7.7E-113,313.1,95%,1,3E-27,4102.61,4105.12
1335,Q16778,1.7E-40,2.7E-33,169.8,27%,1,3.6E-27,13780.53,13788.97
258978,P68871,1.9E-40,2.8E-33,3.01,22%,4,3.8E-27,15979.23,15989.24
304675,P69905,2.1E-119,8.9E-112,707.8,79%,1,5.4E-27,6706.41,18.02
259092,P69905,1.1E-39,1.7E-32,27.62,25%,4,1.6E-26,15196.85,15206.34
1144,P0C0S5,1.3E-39,2E-32,593.7,21%,1,1.8E-26,13413.51,13421.55
169501,P68871,4.7E-39,7.2E-32,41.22,23%,1,4.8E-26,16046.17,16056.18
16363,P0CG47,7.9E-115,3.3E-107,0.9691,59%,4,9.5E-26,8445.57,18.02
69240,P68871,2.1E-38,3.2E-31,10.36,21%,4,1.6E-25,16101.2,16111.26
68997,P69905,7E-113,2.9E-105,888.4,57%,1,3.1E-25,10226.22,18.02
6994,P62805,8.8E-38,1.3E-30,3.01,21%,4,5E-25,11341.39,11348.28
12615,P17096-1,8.7E-38,1.3E-30,12.12,18%,4,5E-25,11754.06,18.02
346355,P69905,1.1E-37,1.6E-30,2.994,13%,4,5.7E-25,15276.82,15286.32
1470,Q9UDW1-1,1.1E-37,1.7E-30,476.3,39%,1,5.8E-25,7172.79,7177.3
2113,Q16777,1.9E-37,2.9E-30,758.8,20%,1,8.8E-25,13890.81,13899.22
11839,P25815,7.2E-37,1.1E-29,571.3,27%,1,2.5E-24,10393.22,10399.9
15149,P61956-1,1.2E-36,1.9E-29,171.6,23%,1,3.8E-24,10513.2,10519.76
224602,P68871,1.9E-108,7.7E-101,880.6,66%,1,4.7E-24,8041.18,18.02
4894176,P68871,2.2E-36,3.3E-29,101.9,21%,1,6E-24,15877.23,15887.2
69237,P68871,2.2E-36,3.4E-29,27.77,21%,4,6E-24,15937.22,15947.2
1101,P56381,5.7E-36,8.7E-29,716.7,57%,1,1.3E-23,5645.07,5648.57
68992,P69905,2E-106,8.1E-99,921.3,75%,1,1.6E-23,6376.47,18.02
4933455,P68871,8.4E-36,1.3E-28,76.23,19%,1,1.7E-23,15915.18,15925.14
1285,P0C0S8,9.4E-36,1.4E-28,570.9,19%,1,1.8E-23,13993.92,14002.33
68966,P68871,1.1E-35,1.7E-28,343,20%,1,2.1E-23,16126.14,16136.16
272075,P68871,1.1E-35,1.7E-28,15.19,20%,4,2.1E-23,16088.18,16098.22
68987,P69905,6.8E-106,2.8E-98,967.1,75%,1,2.1E-23,7403.93,18.02
2087,P62805,1.5E-35,2.3E-28,2.785,21%,4,2.6E-23,11341.39,11348.28
4933165,P68871,1.6E-35,2.5E-28,33.15,21%,4,2.7E-23,15957.19,15967.18
4933452,P68871,2.4E-35,3.7E-28,2.755,19%,4,3.7E-23,15957.19,15967.18
18723,P02042,3.7E-35,5.7E-28,443.3,19%,1,5.2E-23,15914.25,15924.29
17776,P69905,5.1E-104,2.1E-96,1329,83%,1,6.7E-23,5104.79,18.02
74910,P69905,5.4E-35,8.2E-28,60.75,21%,1,6.9E-23,15158.9,15168.4
1386,Q93077,6E-35,9.2E-28,213.5,20%,1,7.4E-23,14007.91,14016.32
5519471,P68871,6.2E-35,9.5E-28,1.827,14%,4,7.6E-23,16182.13,16192.18
4943554,P69905,7.2E-35,1.1E-27,3.01,12%,4,8.3E-23,15689.77,15699.49
2950,P60059,7.2E-35,1.1E-27,1270,24%,1,8.4E-23,7778.18,7783.36
258980,P68871,1.5E-34,2.3E-27,28.27,19%,4,1.5E-22,15979.23,15989.24
258981,P68871,1.5E-34,2.2E-27,3.008,19%,4,1.5E-22,16050.23,16060.28
18483,P68871,7.1E-34,1.1E-26,77.27,14%,1,5E-22,16002.27,16012.39
224862,P69905,8.8E-34,1.3E-26,25.24,21%,4,5.9E-22,15276.82,15286.32
389957,P62805,9.1E-34,1.4E-26,1.758,17%,4,6E-22,11341.39,11348.29
17878,P68871,1.2E-33,1.8E-26,49.2,17%,1,7.2E-22,15913.24,15923.24
184224,P30273,1.6E-33,2.5E-26,14.71,30%,4,9.5E-22,7883.11,7888.07
284809,P69905,9.4E-100,3.9E-92,1121,80%,1,1E-21,4908.67,18.02
1293,P62807,2.1E-33,3.2E-26,94.77,22%,1,1.1E-21,13766.52,13774.95
1115,P26447,2.2E-33,3.3E-26,34.11,23%,4,1.2E-21,11631.7,11639.36
169455,P69905,2.3E-99,9.3E-92,940.1,65%,1,1.2E-21,7423.8,18.02
272084,P68871,2.5E-33,3.7E-26,5.704,20%,4,1.3E-21,16059.19,16069.22
