PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
1054,P07108-1,9E-159,1.4E-151,114.4,68%,1,9.8E-119,9948.99,9955.27
1018,P14406,1.8E-126,2.8E-119,1618,78%,1,3.4E-93,6717.58,6721.81
65051,Q15847,2E-120,3.1E-113,1615,76%,1,1.5E-88,7760.94,7765.6
1008,P0CG47,7.1E-114,1.1E-106,1273,63%,1,1.9E-83,8559.62,8564.84
3460,Q96FJ2,2.5E-112,3.8E-105,1270,56%,1,2.6E-82,10254.04,10260.68
1101,P56381,8.5E-103,1.3E-95,933.9,76%,1,8.7E-75,5645.07,5648.57
1003,P61604,2.2E-96,3.3E-89,38.01,48%,4,9.6E-70,10835.84,10842.54
1068,P24311,1.5E-89,2.2E-82,1406,64%,1,2.3E-64,6358.19,6362.15
1470,Q9UDW1-1,1.9E-88,2.8E-81,1135,61%,1,1.5E-63,7172.79,7177.3
1027,Q9Y2S6,2.4E-87,3.7E-80,958.5,58%,1,1.1E-62,6972.9,6977.15
1017,P31949,3.8E-87,5.9E-80,24.91,35%,4,1.4E-62,11643.8,11651.29
4981098,P10599-1,1.4E-86,2.1E-79,1147,46%,1,3.5E-62,11596.69,11604.28
1123,P14854,4.4E-85,6.7E-78,836.1,49%,1,5.2E-61,10096.69,10103.24
15880,P61604,5.4E-84,8.2E-77,14.62,38%,4,3.5E-60,10835.84,18.02
1009,O75964,1.4E-83,2.1E-76,359.6,45%,1,6.9E-60,11332.21,11339.32
1631,Q9H299,2.9E-82,4.4E-75,974.1,43%,1,7.3E-59,10342.23,10348.56
4934,P07148,1E-81,1.5E-74,1599,32%,1,1.9E-58,14110.38,14119.23
1046,P63173,5.9E-76,8.9E-69,873,51%,1,6.7E-54,8081.69,8086.7
92967,P10645,4.3E-75,6.6E-68,765.6,44%,1,3.1E-53,8550.4,8555.86
1011,Q15843,2.8E-73,4.2E-66,933.3,47%,1,8.1E-52,8554.67,8559.97
11825,O14957,3.6E-73,5.5E-66,1139,46%,1,9.5E-52,6434.44,6438.49
18586,P24844-1,9.5E-73,1.4E-65,982.6,29%,1,1.9E-51,19725.42,19738.03
13352,P69905,9.1E-73,1.4E-65,707.6,36%,1,1.9E-51,15116.88,15126.36
1007,P10599-1,2.4E-71,3.7E-64,256.7,38%,1,2.3E-50,11598.7,11606.3
5740754,Q06141,3.7E-69,5.7E-62,719.7,29%,1,1.2E-48,16555.92,16566.48
5507,P68871,8.6E-69,1.3E-61,759.3,33%,1,2.3E-48,15857.25,15867.22
2572,P61960-1,4.8E-66,7.3E-59,1014,53%,1,3.3E-46,8832.8,8838.21
6983,Q9Y6X1,2.5E-63,3.8E-56,1395,48%,1,4.5E-44,7237.89,7242.56
1439,P07737,1.5E-61,2.3E-54,753.9,31%,1,1.2E-42,14955.53,14965.08
1724,P10176,5.7E-61,8.7E-54,815.4,63%,1,3.2E-42,4890.6,4893.78
1210,P62857,1.9E-58,2.9E-51,768.2,40%,1,3.1E-40,7878.21,7883.07
1015,P61769,3.5E-58,5.4E-51,533.9,34%,1,4.9E-40,11723.79,11731.17
1976,O00483,9.7E-58,1.5E-50,864.3,46%,1,1.1E-39,9363.91,9369.86
12372,P56378-1,1.7E-56,2.6E-49,834.1,47%,1,9.8E-39,6657.59,6662.04
18752,P04271,7.6E-56,1.2E-48,760.4,36%,1,3E-38,10617.02,10623.88
1073,P62308,7.5E-56,1.1E-48,1363,42%,1,3.1E-38,8401.4,8406.91
1005,P62306,9.1E-56,1.4E-48,984.1,33%,1,3.4E-38,9629.75,9636.04
2955,Q7Z3B0,1.1E-55,1.7E-48,1421,45%,1,3.9E-38,8619.78,8625.27
11862,Q8N4H5-1,1.3E-55,2E-48,1029,46%,1,4.2E-38,6073.38,6077.35
6975,P0DP23,3.6E-55,5.5E-48,13.01,22%,4,9.3E-38,16779.81,16790.47
4905952,P0DP25,2E-54,3E-47,3.002,20%,4,3.5E-37,16779.85,16790.52
