PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
13352,P69905,4.4E-171,6.7E-164,1970,68%,1,8.1E-114,15116.88,15126.36
1054,P07108-1,1.5E-151,2.3E-144,162.8,78%,1,3.4E-100,9948.99,9955.27
1003,P61604,2.8E-151,4.3E-144,48.72,69%,1,3.6E-100,10835.84,10842.54
5507,P68871,1.6E-131,2.4E-124,1626,55%,1,3.1E-86,15857.25,15867.22
65051,Q15847,1.1E-123,1.6E-116,967.2,78%,1,9.4E-81,7760.94,7765.6
1008,P0CG47,2.3E-118,3.5E-111,1600,71%,1,4.9E-77,8559.62,8564.84
1009,O75964,6.9E-117,1E-109,633.4,53%,1,4.7E-76,11332.21,11339.32
1321,Q9UII2-1,3E-115,4.5E-108,785.5,59%,1,5.9E-75,9510.87,9516.56
1013,O75368,4.4E-114,6.7E-107,902.1,51%,1,3.6E-74,12635.34,12643.06
1101,P56381,1.4E-112,2.1E-105,2037,86%,1,3.8E-73,5645.07,5648.57
1026,P20962,4.9E-112,7.5E-105,3.01,48%,4,8.4E-73,11434.16,11440.75
1018,P14406,4.1E-108,6.3E-101,1450,83%,1,4.7E-70,6717.58,6721.81
15149,P61956-1,8.5E-103,1.3E-95,157.3,54%,1,2.6E-66,10513.2,10519.76
1036,P06454-2,8.4E-99,1.3E-91,327.8,59%,1,1.7E-63,11977.9,11984.69
1017,P31949,6.9E-96,1.1E-88,3.01,50%,4,1.8E-61,11643.8,11651.29
1068,P24311,7E-95,1.1E-87,1640,76%,1,8.8E-61,6358.19,6362.15
1027,Q9Y2S6,1.9E-93,2.8E-86,1007,61%,1,8.4E-60,6972.9,6977.15
1046,P63173,3.7E-93,5.7E-86,1064,60%,1,1.3E-59,8081.69,8086.7
1021,P20674,1.8E-90,2.8E-83,1109,45%,1,1E-57,12493.43,12501.17
16034,P68871,1.4E-89,2.1E-82,674.6,43%,1,3.9E-57,15941.27,15951.3
1588,P06454-1,4.7E-88,7.1E-81,504.8,49%,1,4.6E-56,12106.94,12113.81
15885,P68871,1.8E-86,2.8E-79,1580,45%,1,5.9E-55,15886.24,15896.22
69237,P68871,9E-86,1.4E-78,134.4,41%,1,1.8E-54,15937.22,15947.2
14938,O14949,4E-84,6.1E-77,1527,54%,1,2.5E-53,9769.08,9775.18
66199,P01042-2,2.3E-82,3.6E-75,858.8,70%,1,4.2E-52,4171.07,4173.58
1470,Q9UDW1-1,8.1E-82,1.2E-74,1390,70%,1,9.9E-52,7172.79,7177.3
1028,P30049,3.1E-80,4.7E-73,852.2,34%,1,1.3E-50,15010.74,15019.93
69232,P68871,5.8E-79,8.8E-72,22.8,39%,4,9.6E-50,15937.22,15947.2
1499,P27449,8.1E-79,1.2E-71,2145,26%,1,1.2E-49,15636.43,15646.6
15953,P68871,9.1E-79,1.4E-71,40.41,38%,1,1.2E-49,15899.26,15909.26
1936,P52758,3.1E-78,4.8E-71,864.9,30%,1,2.9E-49,14395.58,14404.53
1001,P49773,5.9E-78,9E-71,154.1,40%,1,4.2E-49,13704.06,13712.76
156957,P24310,5.7E-78,8.7E-71,593.4,74%,1,4.3E-49,6738.49,6742.78
1016,O95777,8.2E-78,1.3E-70,1417,38%,1,5.2E-49,10307.26,10313.49
2926,O95167,1.7E-77,2.6E-70,859.2,52%,1,8.3E-49,9183.82,9189.69
69231,P68871,5.2E-77,7.9E-70,112.1,33%,1,1.8E-48,15937.22,15947.2
15997,P68871,8.3E-77,1.3E-69,18.55,37%,4,2.4E-48,15899.26,15909.26
272086,P68871,3.4E-76,5.1E-69,35.08,32%,4,6.4E-48,16130.19,16140.26
1011,Q15843,6.7E-76,1E-68,1189,47%,1,1E-47,8554.67,8559.97
12375,Q9UDW1-1,2.1E-75,3.2E-68,999.6,59%,1,2.2E-47,7158.77,7163.27
3245,P00441,2.9E-75,4.4E-68,426,32%,1,2.7E-47,15836.87,15846.59
2863,P62942,2E-73,3E-66,678.2,36%,1,5.2E-46,11812.04,11819.51
16018,P68871,2.5E-73,3.9E-66,610.9,37%,1,6E-46,15970.26,15980.3
17708,P68871,2.5E-73,3.9E-66,16.94,34%,4,6.1E-46,15928.25,15938.26
96859,P68871,6.8E-73,1E-65,19.83,35%,4,1.2E-45,15966.21,15976.2
6971,P0DP23,8.9E-73,1.4E-65,15.07,31%,4,1.4E-45,16779.85,16790.52
68966,P68871,1E-71,1.5E-64,615.2,28%,1,7.6E-45,16126.14,16136.16
70242,P68871,2E-71,3E-64,39.79,35%,4,1.1E-44,16017.18,16027.18
224694,P68871,2E-71,3E-64,9.992,35%,4,1.2E-44,16021.24,16031.28
259001,P68871,2E-71,3E-64,2.831,35%,4,1.2E-44,16008.22,16018.24
169497,P68871,2.9E-71,4.3E-64,7.907,35%,4,1.5E-44,15979.23,15989.24
259014,P68871,4.9E-71,7.4E-64,15.2,28%,4,2E-44,16101.2,16111.26
74902,P68871,4.9E-71,7.4E-64,14.85,30%,4,2.1E-44,16059.19,16069.22
73240,P68871,7.5E-71,1.1E-63,23.16,31%,4,2.7E-44,16017.18,16027.18
258987,P68871,3.8E-70,5.7E-63,8.097,29%,4,8.4E-44,16130.19,16140.26
258978,P68871,9.4E-70,1.4E-62,2.998,30%,4,1.6E-43,15979.23,15989.24
1064,P12074,1E-69,1.5E-62,853.2,43%,1,1.6E-43,9612.74,9618.8
8154,P18859-1,1.1E-69,1.7E-62,903,52%,1,1.7E-43,8954.54,8960.15
1110,O95178,1.3E-69,1.9E-62,1502,55%,1,1.8E-43,8636.06,8641.51
259006,P68871,1.5E-69,2.3E-62,8.303,30%,4,2E-43,16008.22,16018.24
4971978,P61769,2.6E-69,4E-62,141.3,42%,1,3E-43,11722.8,11730.18
258993,P68871,3.7E-69,5.7E-62,15.56,30%,4,3.8E-43,15966.21,15976.2
2548,O14957,1.1E-68,1.6E-61,769.9,58%,1,7.8E-43,6565.48,6569.68
1864,P62312,1.2E-68,1.8E-61,613.1,47%,1,8.1E-43,9032.74,9038.42
272077,P68871,4.4E-68,6.7E-61,3.01,31%,4,2.1E-42,16168.15,16178.2
11825,O14957,5.5E-68,8.3E-61,812.8,57%,1,2.4E-42,6434.44,6438.49
7017,O95298-1,1.1E-67,1.7E-60,929.1,34%,1,3.8E-42,14178.42,14187.52
12781,P06454-2,4.8E-67,7.4E-60,1509,42%,1,1.1E-41,8889.4,8894.39
69240,P68871,6.3E-67,9.6E-60,31.8,32%,4,1.3E-41,16101.2,16111.26
258981,P68871,1.5E-66,2.3E-59,15.59,30%,4,2.3E-41,16050.23,16060.28
259088,P69905,1.9E-66,2.9E-59,583.9,39%,1,2.7E-41,15196.85,15206.34
68974,P68871,2.9E-66,4.4E-59,24.44,30%,4,3.5E-41,16021.24,16031.28
272080,P68871,4.7E-66,7.2E-59,18.08,30%,4,5E-41,16046.17,16056.18
74904,P68871,1.8E-65,2.8E-58,8.888,31%,4,1.3E-40,16050.23,16060.28
1247,Q9BPX5,3.3E-65,5E-58,953.3,29%,1,1.9E-40,16841.78,16852.04
74906,P68871,5.1E-65,7.7E-58,28.45,30%,4,2.6E-40,16021.24,16031.28
14947,P56134-2,8.1E-65,1.2E-57,72.35,44%,1,3.6E-40,10267.45,10274.09
74905,P68871,8.6E-65,1.3E-57,2.985,28%,4,3.6E-40,16017.18,16027.18
995192,L0R6Q1-1,1E-64,1.5E-57,928.7,37%,1,4E-40,11036.85,11043.64
6987,O95563,2.3E-64,3.5E-57,1616,36%,1,7.1E-40,14180.56,14189.73
169501,P68871,4.5E-64,6.8E-57,46.21,32%,1,1.1E-39,16046.17,16056.18
258982,P68871,4.5E-64,6.8E-57,6.743,32%,4,1.1E-39,16059.19,16069.22
1409,P14927-1,5.4E-64,8.2E-57,164.9,35%,1,1.2E-39,13432.95,13441.3
272079,P68871,7.7E-64,1.2E-56,3.01,30%,4,1.6E-39,16139.16,16149.2
2955,Q7Z3B0,9.3E-64,1.4E-56,1722,45%,1,1.8E-39,8619.78,8625.27
2180,P56385,2.9E-63,4.4E-56,1451,49%,1,3.9E-39,7797.28,7802.02
11835,P15954,4.1E-63,6.3E-56,892.9,65%,1,5E-39,5352.76,5356.25
258983,P68871,6.5E-63,9.9E-56,2.966,28%,4,6.8E-39,15979.23,15989.24
16102,P68871,7.5E-63,1.1E-55,80.7,34%,1,7.4E-39,15928.25,15938.26
4905952,P0DP25,1.5E-62,2.2E-55,12.12,28%,4,1.2E-38,16779.85,16790.52
70234,P68871,2.4E-62,3.7E-55,16.35,29%,4,1.7E-38,15979.23,15989.24
432952,P09210,2.9E-62,4.5E-55,634.1,16%,1,1.9E-38,25558.59,25574.8
1075,P04080,3.3E-62,4.9E-55,701.4,44%,1,2E-38,11174.6,11181.63
272075,P68871,3.8E-62,5.8E-55,6.133,30%,4,2.2E-38,16088.18,16098.22
1364,P23284,5.3E-62,8.1E-55,700.3,23%,1,2.8E-38,20276.57,20289.29
7230,Q9P0S9,1.8E-61,2.8E-54,1071,30%,1,6.6E-38,11556.97,11564.58
1724,P10176,2.2E-61,3.3E-54,2090,60%,1,7.3E-38,4890.6,4893.78
170715,P68871,2E-60,3E-53,3.738,32%,4,3.5E-37,16088.18,16098.22
70259,P68871,2.5E-60,3.7E-53,578.7,30%,1,4E-37,16097.15,16107.16
222720,P68871,4.3E-60,6.6E-53,6.41,32%,4,5.9E-37,15979.23,15989.24
258979,P68871,1.5E-59,2.3E-52,6.195,28%,4,1.4E-36,16008.22,16018.24
