PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
1054,P07108-1,8.1E-180,1.2E-172,259.1,78%,1,4.6E-110,9948.99,9955.27
1018,P14406,2.5E-139,3.8E-132,1443,86%,1,8.7E-84,6717.58,6721.81
3460,Q96FJ2,3.8E-136,5.8E-129,1054,68%,1,7.1E-82,10254.04,10260.68
1101,P56381,4.2E-116,6.4E-109,998.8,84%,1,7.3E-69,5645.07,5648.57
5507,P68871,1.3E-110,1.9E-103,757.1,45%,1,2.3E-65,15857.25,15867.22
1008,P0CG47,3E-110,4.6E-103,1172,63%,1,3.3E-65,8559.62,8564.84
1123,P14854,6.2E-109,9.5E-102,959.4,55%,1,2.1E-64,10096.69,10103.24
1027,Q9Y2S6,5.4E-107,8.3E-100,1221,60%,1,3.4E-63,6972.9,6977.15
1003,P61604,1.1E-106,1.6E-99,79.7,51%,1,4.7E-63,10835.84,10842.54
11825,O14957,1.2E-99,1.8E-92,1225,61%,1,1.7E-58,6434.44,6438.49
1009,O75964,2.6E-97,3.9E-90,169.2,53%,1,5.3E-57,11332.21,11339.32
1470,Q9UDW1-1,4E-97,6E-90,1677,64%,1,6.4E-57,7172.79,7177.3
1028,P30049,3.6E-96,5.5E-89,1281,39%,1,2.5E-56,15010.74,15019.93
1021,P20674,4.6E-96,7E-89,1067,38%,1,2.7E-56,12493.43,12501.17
12371,O43677,4.7E-95,7.1E-88,1223,65%,1,1.2E-55,5934.18,5937.89
1976,O00483,1.2E-92,1.8E-85,1243,61%,1,4E-54,9363.91,9369.86
1026,P20962,1.7E-89,2.6E-82,3.01,41%,4,4.4E-52,11434.16,11440.75
13352,P69905,5E-87,7.6E-80,910.4,38%,1,1.7E-50,15116.88,15126.36
1068,P24311,8.7E-86,1.3E-78,1309,71%,1,1E-49,6358.19,6362.15
1303,Q5TGZ0-1,1.8E-85,2.7E-78,1289,54%,1,1.6E-49,8713.32,8719.05
156957,P24310,3E-84,4.6E-77,1646,77%,1,9.6E-49,6738.49,6742.78
1983,Q9P0S9,2.1E-80,3.2E-73,1129,40%,1,3.1E-46,11598.98,11606.62
41236,P02144,3.4E-79,5.1E-72,906.2,30%,1,1.8E-45,17041.91,17052.61
19638,Q8WYQ3,6.9E-78,1.1E-70,2018,31%,1,1.2E-44,14008.77,14017.74
2548,O14957,3.8E-77,5.7E-70,1210,55%,1,3.6E-44,6565.48,6569.68
14908,O75380,6.3E-76,9.6E-69,762.7,41%,1,2.1E-43,10692.35,10698.97
15880,P61604,2.4E-81,1E-73,37.92,40%,4,2.2E-43,10835.84,18.02
16559,P02654,8.1E-76,1.2E-68,710.9,61%,1,2.3E-43,6428.41,6432.35
2926,O95167,1.3E-75,1.9E-68,1479,50%,1,3E-43,9183.82,9189.69
65051,Q15847,2.4E-75,3.6E-68,1742,49%,1,4.4E-43,7760.94,7765.6
11835,P15954,6.3E-74,9.6E-67,1104,74%,1,3.6E-42,5352.76,5356.25
8154,P18859-1,1.5E-72,2.3E-65,813,51%,1,2.8E-41,8954.54,8960.15
12378,Q9UDW1-1,1.6E-72,2.5E-65,980.7,54%,1,2.8E-41,7214.8,7219.34
2180,P56385,8.6E-72,1.3E-64,829.1,48%,1,8E-41,7797.28,7802.02
59076,P05413,1.1E-71,1.7E-64,981.7,32%,1,9.3E-41,14759.7,14768.88
55232,P63316,5.7E-71,8.6E-64,1349,28%,1,2.6E-40,18432.55,18444.55
1724,P10176,6.8E-71,1E-63,1340,70%,1,2.8E-40,4890.6,4893.78
1011,Q15843,6.3E-70,9.5E-63,1034,40%,1,1.2E-39,8554.67,8559.97
15620,P02654,2E-69,3.1E-62,762.8,59%,1,2.4E-39,6626.51,6630.58
15889,P80511,8.4E-69,1.3E-61,851.4,40%,1,6E-39,10437.49,10443.85
6987,O95563,6.2E-67,9.4E-60,900.8,35%,1,9.7E-38,14180.56,14189.73
592591,P30049,3E-66,4.6E-59,1780,28%,1,2.6E-37,15026.77,15035.97
12768,O95167,1.5E-65,2.2E-58,977,44%,1,7.2E-37,9184.81,9190.68
14947,P56134-2,1.6E-65,2.5E-58,174,44%,1,7.6E-37,10267.45,10274.09
12374,O00483,6.2E-65,9.5E-58,3.01,53%,4,1.8E-36,9405.92,9411.9
7230,Q9P0S9,9.5E-65,1.4E-57,1023,37%,1,2.3E-36,11556.97,11564.58
14938,O14949,1.5E-64,2.2E-57,1050,38%,1,3E-36,9769.08,9775.18
15997,P68871,1E-63,1.6E-56,37.71,32%,4,1E-35,15899.26,15909.26
1110,O95178,1.3E-63,2E-56,2015,52%,1,1.2E-35,8636.06,8641.51
12373,O95298-1,3.5E-63,5.3E-56,578.7,33%,1,2.2E-35,14164.4,14173.49
7017,O95298-1,1.1E-62,1.7E-55,701.4,35%,1,4.5E-35,14178.42,14187.52
244001,P05413,1.6E-62,2.4E-55,1259,32%,1,5.6E-35,14787.7,14796.89
5692687,P10916,3.1E-62,4.7E-55,750.8,23%,1,8.6E-35,18689.36,18701.16
15885,P68871,4.3E-62,6.6E-55,478,31%,1,1E-34,15886.24,15896.22
17708,P68871,1.3E-61,2E-54,17.7,28%,4,2.1E-34,15928.25,15938.26
